ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AD2,P410AD3,P410AE,OMICAP400_02
2024,95314,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,6,0,0,090,4000,2,1,1,4, 
2024,95315,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,010,150,2,1,1,6, 
2024,95315,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,3,0,0,050,25,2,1,1,6, 
2024,95316,01,01,1,2,1,2,8,1,1,0,0,1,0,0,0,4,1,0,0,005,100,2,2,,4, 
2024,95316,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,3,1,0,0,020,20,2,1,1,4, 
2024,95316,01,01,1,2,1,2,8,1,1,0,0,0,1,0,0,1,1,0,0,040,60,2,1,1,4, 
2024,95320,01,01,1,2,1,2,8,1,1,0,0,1,0,0,0,1,2,0,0,113,80,2,1,2,2, 
2024,95320,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,3,1,0,0,036,80,2,1,2,2, 
2024,95321,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,030,20,2,1,1,1, 
2024,95322,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,1,1,0,0,100,35,2,1,1,4, 
2024,95335,01,01,1,3,1,2,8,1,1,1,0,0,0,0,0,1,2,1,0,250,50,1,1,2,4, 
2024,95335,01,01,1,3,1,2,8,1,1,0,0,0,1,0,0,4,4,4,0,250,2600,2,1,1,1, 
2024,95336,01,01,1,3,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,082,30,2,1,2,2, 
2024,95338,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,3,0,3,000,5,2,1,2,5, 
2024,95339,01,01,1,2,1,2,8,1,1,0,0,0,1,0,0,4,80,0,0,250,800,2,1,1,1, 
2024,95340,01,01,1,2,1,2,8,1,1,0,0,0,1,0,0,1,1,1,0,200,30,2,1,1,1, 
2024,95340,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,4,35,0,0,001,750,2,2,,6, 
2024,95341,01,01,1,3,1,2,8,1,1,1,0,0,0,0,0,5,3,1,0,500,2418,2,1,2,1, 
2024,95341,01,01,1,3,1,2,8,1,1,0,0,0,0,1,0,3,3,0,1,000,201,2,1,2,2, 
2024,95341,01,01,1,3,1,2,8,1,1,0,0,0,1,0,0,1,2,0,0,500,245,2,2,,2, 
2024,95341,01,01,1,3,1,2,8,1,1,0,0,1,0,0,0,4,1,1,0,125,612,2,1,2,2, 
2024,95342,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,3,1,0,0,250,5,2,1,1,2, 
2024,95342,01,01,1,3,1,2,1,1,1,0,1,0,0,0,0,2,1,0,1,500,30,2,2,,2, 
2024,95344,01,01,1,3,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,500,51,2,2,,2, 
2024,95345,01,01,1,3,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,250,33,2,1,1,1, 
2024,95346,01,01,1,3,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,250,33,2,1,1,5, 
2024,95347,01,01,1,3,1,2,1,1,1,1,0,0,0,0,0,1,4,4,0,200,30,2,1,2,4, 
2024,95348,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,1,0,250,60,2,2,,5, 
2024,95349,01,01,1,1,1,2,5,0,1,0,0,0,0,1,0,6,8,2,3,000,192000,2,1,2,2, 
2024,95350,01,01,1,1,1,2,5,0,1,0,0,0,0,1,0,6,5,3,3,000,120000,2,1,2,2, 
2024,95373,01,01,1,1,1,2,4,0,1,1,0,0,0,0,0,1,20,0,1,000,500,2,1,2,2, 
2024,95482,01,01,1,1,1,2,1,0,1,0,0,1,0,0,0,3,18,0,0,152,1500,1,1,2,1, 
2024,95509,01,01,1,1,1,2,2,1,1,1,0,0,0,0,0,1,23,0,4,000,750,1,1,1,2, 
2024,95519,01,01,1,1,1,2,2,0,1,1,0,0,0,0,0,1,35,0,6,300,2600,1,1,2,2, 
2024,95528,01,01,1,1,1,2,5,0,1,0,0,0,0,1,0,6,4,2,4,000,55000,2,1,2,3, 
2024,95529,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,6,2,19,5,480,42500,2,1,1,3, 
2024,95530,01,01,1,1,1,2,2,1,1,0,0,0,0,1,0,6,165,35,410,000,1922109,2,1,2,2, 
2024,95533,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,6,41,18,32,560,700000,1,1,2,2, 
2024,95534,01,01,1,1,1,2,7,0,1,0,0,0,0,1,0,5,16,0,28,000,420000,1,1,2,2, 
2024,95535,01,01,1,1,1,2,1,0,1,0,0,0,0,1,0,6,4,0,0,600,50000,2,1,2,2, 
2024,95536,01,01,1,1,1,2,5,0,1,0,0,0,0,1,0,6,2,1,0,390,30240,2,1,1,3, 
2024,95539,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,6,20,4,5,004,300000,2,1,2,2, 
2024,95544,01,01,1,1,1,2,5,0,1,0,0,0,0,1,0,6,3,1,0,600,13000,2,1,1,3, 
2024,95545,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,6,9,1,1,200,200000,1,1,1,3, 
